SUMMARY,DATE,AGENT,server_name,day_of_week,hour_of_day,AGENT_encoded,DATE_numeric,svm_results
Process : nbrmms is running successfully,2023-01-01 00:00:00,Application,Application_server_416,6,0,0,1672531200000000000,1
Filesystem:  / is 75 full,2023-01-01 00:05:10,linux_ix86,linux_ix86_server_51,6,0,2,1672531510000000000,-1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 00:10:33,Application,Application_server_221,6,0,0,1672531833000000000,1
Process : java is running successfully,2023-01-01 00:15:20,Application,Application_server_154,6,0,0,1672532120000000000,1
CHRONY : process is running successfully,2023-01-01 00:20:25,linux_ix86,linux_ix86_server_36,6,0,2,1672532425000000000,1
*CP01*nodeagent is missing,2023-01-01 00:25:17,websphere,websphere_server_32,6,0,4,1672532717000000000,-1
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 00:30:27,websphere,websphere_server_51,6,0,4,1672533027000000000,1
Total CPU Utilization = 50%,2023-01-01 00:35:29,Application,Application_server_106,6,0,0,1672533329000000000,-1
Filesystem:  / is 75 full,2023-01-01 00:40:32,linux_ix86,linux_ix86_server_90,6,0,2,1672533632000000000,1
Process : java is running successfully,2023-01-01 00:45:19,Application,Application_server_510,6,0,0,1672533919000000000,1
Service: enstart64 is Stopped,2023-01-01 00:50:19,ms_win,ms_win_server_10,6,0,3,1672534219000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 00:55:42,Application,Application_server_146,6,0,0,1672534542000000000,1
Process : nbsvcmon is running successfully,2023-01-01 01:00:52,Application,Application_server_333,6,1,0,1672534852000000000,1
Service: syslog-ng Agent is running,2023-01-01 01:05:37,ms_win,ms_win_server_24,6,1,3,1672535137000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 01:10:30,Application,Application_server_252,6,1,0,1672535430000000000,1
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-01 01:15:11,websphere,websphere_server_43,6,1,4,1672535711000000000,-1
Process : java is running successfully,2023-01-01 01:20:11,Application,Application_server_507,6,1,0,1672536011000000000,1
[MAN] Log /var/log/messages kernel: sd Unrecovered read error.,2023-01-01 01:25:24,linux_ix86,linux_ix86_server_108,6,1,2,1672536324000000000,1
[MAN] The PERC1 battery is medium.,2023-01-01 01:30:25,dell-idrac,dell-idrac_server_29,6,1,1,1672536625000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 01:34:54,Application,Application_server_310,6,1,0,1672536894000000000,1
Total CPU Utilization = 65%,2023-01-01 01:39:57,Application,Application_server_331,6,1,0,1672537197000000000,1
system: Processor Queue Length is 0,2023-01-01 01:44:58,ms_win,ms_win_server_83,6,1,3,1672537498000000000,1
Process : java is running successfully,2023-01-01 01:50:26,Application,Application_server_245,6,1,0,1672537826000000000,1
*CP01*nodeagent is missing,2023-01-01 01:55:16,websphere,websphere_server_40,6,1,4,1672538116000000000,1
Service: enstart64 is running,2023-01-01 02:00:31,ms_win,ms_win_server_35,6,2,3,1672538431000000000,1
Process : nbrmms is running successfully,2023-01-01 02:05:20,Application,Application_server_134,6,2,0,1672538720000000000,1
